name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
山田町立豊間根保育園,岩手県,,,10.9,0.5,0.8,3.7,8.7,13.4,16.9,20.8,22.4,19.3,13.7,8.0,2.9,,"https://www.google.com/maps?q=39.5321962,141.9260697"
山田町立豊間根小学校,岩手県,,,10.9,0.5,0.8,3.7,8.7,13.4,16.9,20.8,22.4,19.3,13.7,8.0,2.9,,"https://www.google.com/maps?q=39.5259018,141.9292529"
寒河江市体育館合宿所,山形県,,,10.7,-1.3,-1.0,2.3,8.5,14.7,19.0,22.7,23.7,19.4,12.7,6.4,1.2,,"https://www.google.com/maps?q=38.389197,140.2754915"
宮古市立山口小学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.6450601,141.942305"
山形県中山町勤労文化センター,山形県,,,10.7,-1.3,-1.0,2.3,8.5,14.7,19.0,22.7,23.7,19.4,12.7,6.4,1.2,,"https://www.google.com/maps?q=38.335446,140.272989"
河北町溝延研修センター,山形県,,,11.4,-1.1,-0.5,3.1,9.0,15.5,20.0,23.3,24.7,20.5,13.4,7.0,1.6,,"https://www.google.com/maps?q=38.3964542,140.3148542"
鉾田市立当間小学校,茨城県,,,13.8,2.8,3.7,7.1,12.0,16.6,19.9,23.8,25.3,21.9,16.4,10.6,5.1,,"https://www.google.com/maps?q=36.1621842,140.4848281"
城里町立小松小学校,茨城県,,,14.1,3.3,4.1,7.4,12.3,17.0,20.3,24.2,25.6,22.1,16.6,10.8,5.6,,"https://www.google.com/maps?q=36.4448752,140.3772819"
城里町立石塚小学校,茨城県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.4748349,140.3861409"
楽園キャンプ場,福岡県,,,17.1,6.3,7.5,10.5,15.2,19.9,23.4,27.2,28.3,24.6,19.4,13.9,8.4,,"https://www.google.com/maps?q=33.602035,130.5377311"
